0,1,2,3,4
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
,,,,
Comparative Study,,,,
,,,,
"Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
Comparative Study,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,
"Research Support, Non-U.S. Gov't",,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.",,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
Comparative Study,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
,,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, Non-P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
Comparative Study,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,"Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
Comparative Study,,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
Comparative Study,,,,
Comparative Study,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
Comparative Study,"Research Support, Non-U.S. Gov't",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, U.S. Gov't, Non-P.H.S.",,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, P.H.S.",,,
"Research Support, Non-U.S. Gov't","Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,
,,,,
"Research Support, U.S. Gov't, Non-P.H.S.","Research Support, U.S. Gov't, P.H.S.",,,
,,,,
"Research Support, Non-U.S. Gov't",,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"Research Support, U.S. Gov't, P.H.S.",,,,
,,,,
